loc_id,dropoff_trip_count,borough_name,zone_name
213,22453,Bronx,Soundview/Castle Hill
252,12548,Queens,Whitestone
241,17334,Bronx,Van Cortlandt Village
22,18919,Brooklyn,Bensonhurst West
171,12213,Queens,Murray Hill-Queens
169,18995,Bronx,Mount Hope
19,9841,Queens,Bellerose
167,17341,Bronx,Morrisania/Melrose
174,19079,Bronx,Norwood
29,13511,Brooklyn,Brighton Beach
98,9604,Queens,Fresh Meadows
180,12623,Queens,Ozone Park
185,14700,Bronx,Pelham Parkway
173,16526,Queens,North Corona
78,18084,Bronx,East Tremont
102,17232,Queens,Glendale
34,9936,Brooklyn,Brooklyn Navy Yard
67,12994,Brooklyn,Dyker Heights
15,7137,Queens,Bay Terrace/Fort Totten
208,15618,Bronx,Schuylerville/Edgewater Park
64,7758,Queens,Douglaston
222,14597,Brooklyn,Starrett City
47,13063,Bronx,Claremont/Bathgate
190,8465,Brooklyn,Prospect Park
18,18412,Bronx,Bedford Park
53,13001,Queens,College Point
259,12747,Bronx,Woodlawn/Wakefield
250,12258,Bronx,Westchester Village/Unionport
136,12325,Bronx,Kingsbridge Heights
20,13701,Bronx,Belmont
201,7509,Queens,Rockaway Park
9,6811,Queens,Auburndale
192,8443,Queens,Queensboro Hill
101,7583,Queens,Glen Oaks
21,13375,Brooklyn,Bensonhurst East
32,10802,Bronx,Bronxdale
147,9667,Bronx,Longwood
178,6644,Brooklyn,Ocean Parkway South
3,8924,Bronx,Allerton/Pelham Gardens
175,7441,Queens,Oakland Gardens
154,6486,Brooklyn,Marine Park/Floyd Bennett Field
122,8058,Queens,Hollis
212,10915,Bronx,Soundview/Bruckner
81,11128,Bronx,Eastchester
126,13186,Bronx,Hunts Point
207,2889,Queens,Saint Michaels Cemetery/Woodside
150,7524,Brooklyn,Manhattan Beach
11,7227,Brooklyn,Bath Beach
108,8698,Brooklyn,Gravesend
60,9152,Bronx,Crotona Park East
94,8372,Bronx,Fordham South
128,7413,Manhattan,Inwood Hill Park
248,10439,Bronx,West Farms/Bronx River
31,4444,Bronx,Bronx Park
183,5834,Bronx,Pelham Bay
73,6237,Queens,East Flushing
120,3929,Manhattan,Highbridge Park
57,1690,Queens,Corona
153,3756,Manhattan,Marble Hill
96,2528,Queens,Forest Park/Highland Park
172,896,Staten Island,New Dorp/Midland Beach
46,1970,Bronx,City Island
6,1611,Staten Island,Arrochar/Fort Wadsworth
240,3486,Bronx,Van Cortlandt Park
221,1476,Staten Island,Stapleton
118,1143,Staten Island,Heartland Village/Todt Hill
27,1247,Queens,Breezy Point/Fort Tilden/Riis Beach
214,1544,Staten Island,South Beach/Dongan Hills
253,1124,Queens,Willets Point
206,1287,Staten Island,Saint George/New Brighton
58,1992,Bronx,Country Club
115,737,Staten Island,Grymes Hill/Clifton
2,132,Queens,Jamaica Bay
30,634,Queens,Broad Channel
23,1239,Staten Island,Bloomfield/Emerson Hill
184,1270,Bronx,Pelham Bay Park
59,733,Bronx,Crotona Park
156,581,Staten Island,Mariners Harbor
8,1018,Queens,Astoria Park
111,498,Brooklyn,Green-Wood Cemetery
109,509,Staten Island,Great Kills
245,691,Staten Island,West Brighton
204,263,Staten Island,Rossville/Woodrow
251,798,Staten Island,Westerleigh
84,409,Staten Island,Eltingville/Annadale/Prince's Bay
176,430,Staten Island,Oakwood
187,405,Staten Island,Port Richmond
44,310,Staten Island,Charleston/Tottenville
199,3,Bronx,Rikers Island
5,203,Staten Island,Arden Heights
99,24,Staten Island,Freshkills Park
105,7,Manhattan,Governor's Island/Ellis Island/Liberty Island
110,1,Staten Island,Great Kills Park
