loc_id,am_trip_count,pm_trip_count,borough_name,zone_name,pm_minus_am,pm_am_ratio,pm_increase_pct
242,3012,3329,Bronx,Van Nest/Morris Park,317,1.1052456839309428,10.52456839309429
243,17416,14927,Manhattan,Washington Heights North,-2489,0.8570854386770785,-14.291456132292147
244,36336,36085,Manhattan,Washington Heights South,-251,0.9930922501100836,-0.6907749889916336
245,56,25,Staten Island,West Brighton,-31,0.44642857142857145,-55.35714285714286
246,111898,341915,Manhattan,West Chelsea/Hudson Yards,230017,3.0555952742676364,205.55952742676365
247,6848,6064,Bronx,West Concourse,-784,0.8855140186915887,-11.448598130841122
248,4892,1934,Bronx,West Farms/Bronx River,-2958,0.3953393295175797,-60.466067048242024
249,128997,215392,Manhattan,West Village,86395,1.6697442576183943,66.97442576183941
250,4079,2514,Bronx,Westchester Village/Unionport,-1565,0.6163275312576612,-38.36724687423388
251,89,43,Staten Island,Westerleigh,-46,0.48314606741573035,-51.68539325842697
252,919,1042,Queens,Whitestone,123,1.1338411316648531,13.384113166485308
253,44,112,Queens,Willets Point,68,2.5454545454545454,154.54545454545453
254,7681,3562,Bronx,Williamsbridge/Olinville,-4119,0.4637417002994402,-53.62582997005598
255,6998,14665,Brooklyn,Williamsburg (North Side),7667,2.0955987424978564,109.55987424978566
256,11570,14700,Brooklyn,Williamsburg (South Side),3130,1.2705272255834053,27.052722558340538
257,3030,2006,Brooklyn,Windsor Terrace,-1024,0.662046204620462,-33.79537953795379
258,6510,3689,Queens,Woodhaven,-2821,0.5666666666666667,-43.333333333333336
259,4440,1850,Bronx,Woodlawn/Wakefield,-2590,0.4166666666666667,-58.333333333333336
260,9985,9568,Queens,Woodside,-417,0.958237356034051,-4.176264396594892
261,38994,110034,Manhattan,World Trade Center,71040,2.8218187413448224,182.18187413448223
262,257662,236027,Manhattan,Yorkville East,-21635,0.9160334081082969,-8.396659189170308
263,244711,292738,Manhattan,Yorkville West,48027,1.1962600782147104,19.626007821471042
264,17670,27465,Unknown,,9795,1.5543293718166384,55.43293718166383
265,3577,6976,,Outside of NYC,3399,1.9502376292982946,95.02376292982947
