model,validation_mae,validation_rmse,validation_r2,test_mae,test_rmse,test_r2
HistGradientBoosting_Baseline,4.244842912003404,8.47788172208739,0.7838928316994693,,,
HistGradientBoosting_Tuned,4.174575078541834,8.395087078193846,0.788093208123299,3.9313875001905747,8.100815969659896,0.7943628198280888
