origin_loc_id,origin_zone,outgoing_trip_count
237,Upper East Side South,2113429
132,JFK Airport,2059989
161,Midtown Center,2023458
236,Upper East Side North,1867732
186,Penn Station/Madison Sq West,1508078
162,Midtown East,1477633
230,Times Sq/Theatre District,1450984
142,Lincoln Square East,1371620
170,Murray Hill,1273860
234,Union Sq,1268407
138,LaGuardia Airport,1266238
79,East Village,1233380
68,East Chelsea,1230581
239,Upper West Side South,1210668
163,Midtown North,1204941
